complaint_id,complaint_text,language,category,location,priority,resolution_days,created_date,assigned_officer
COM_0001,Golf Course Road पर सड़क की सतह दरारों और गहरे गड्ढों से भरी है। दुर्घटना से पहले मरम्मत की आवश्यकता है।,Hindi,Traffic & Roads,Central Zone,High,8,2026-03-04 01:00:47,OFF_022
COM_0002,Golf Course Road上的一排路灯坏了一周了。路面漆黑一片，居民感到很不安全。,Chinese,Traffic & Roads,South Zone,Medium,5,2025-09-13 20:22:47,OFF_018
COM_0003,Dépôt d'appareils électroniques et de vieux matelas sur le bord de la route à Golf Course Road.,French,Environmental Protection,Central Zone,Medium,5,2025-08-27 12:08:47,OFF_032
COM_0004,Nous avons besoin d'un balayage de rue sur Chhatrapati Shivaji Maharaj Marg. Les débris bloquent les gouttières.,French,Sanitation,East Zone,Low,9,2025-06-17 14:21:47,OFF_049
COM_0005,"Le regard d'égout principal déborde à Chhatrapati Shivaji Maharaj Marg. L'eau d'égout remonte, créant un risque sanitaire.",French,Sanitation,South Zone,High,4,2025-10-18 01:56:47,OFF_025
COM_0006,Park Street处的红绿灯在所有方向上都卡在红灯上。车辆严重拥堵，请派员处理。,Chinese,Traffic & Roads,East Zone,High,1,2025-08-28 17:23:47,OFF_020
COM_0007,Chandni Chowk附近的马路上正有水涌出。整个人行道都淹没了，请派人修理。,Chinese,Water Supply,East Zone,High,2,2025-12-12 17:19:47,OFF_001
COM_0008,"Hazratganj के बीच में एक गहरा और खतरनाक गड्ढा है। कारें इससे बचने के लिए मुड़ रही हैं, जो कि जोखिम भरा है।",Hindi,Traffic & Roads,Central Zone,Medium,8,2025-12-01 12:11:47,OFF_033
COM_0009,Dr. B.R. Ambedkar Road的工业厂区散发出难闻的硫磺味。这导致居民头痛。,Chinese,Environmental Protection,East Zone,High,5,2025-12-21 21:25:47,OFF_024
COM_0010,Hay un cable eléctrico caído en la calle cerca de Lal Bahadur Shastri Marg. Está activo y es extremadamente peligroso.,Spanish,Electricity & Power,South Zone,High,2,2026-03-04 23:26:47,OFF_031
COM_0011,Janpath पर सड़क की सतह दरारों और गहरे गड्ढों से भरी है। दुर्घटना से पहले मरम्मत की आवश्यकता है।,Hindi,Traffic & Roads,East Zone,Medium,6,2026-02-14 14:57:47,OFF_022
